trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9999999999899633}",20,0,-125.50827673601721,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.999999999988995}",30,0,-105.82640706390943,"{0: 19, 1: 5, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9999999999879335}",25,0,-167.2352163629831,"{0: 12, 1: 4, 2: 6, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9999999999867695}",20,0,-61.86784529154682,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9999999999854933}",25,0,-106.24114372917782,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9999999999840938}",30,10,-66.17174521329211,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.9999999999825595}",25,14,-82.86488940105586,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 2}",1
8,False,"{'a': 0.5, 'e': 0.9999999999808772}",20,0,-148.6074654140108,"{0: 11, 1: 3, 2: 1, 3: 3, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9999999999790324}",35,0,-181.73960901398007,"{0: 23, 1: 3, 2: 5, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.9999999999770098}",30,0,-68.66966744472073,"{0: 22, 1: 4, 2: 2, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.9999999999747922}",20,0,-97.96196361586424,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.9999999999723606}",20,0,-170.62456454355197,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.9999999999696944}",20,0,-131.2655159592629,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.9999999999667709}",25,0,-169.69159149201553,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.9999999999635656}",20,0,-152.72078826932446,"{0: 8, 1: 5, 2: 2, 3: 4, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.999999999960051}",20,0,-102.57522724330599,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.9999999999561974}",20,0,-111.23281678504492,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.999999999951972}",20,0,-81.89567017916666,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.999999999947339}",20,0,-116.39546330316281,"{0: 13, 1: 0, 2: 3, 3: 3, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.9999999999422592}",30,0,-165.43106359291735,"{0: 18, 1: 3, 2: 5, 3: 2, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.9999999999366893}",20,0,-106.89107880711413,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.9999999999305821}",20,0,-164.67386981874768,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
23,False,"{'a': 0.5, 'e': 0.9999999999238858}",20,0,-48.1488211177558,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.9999999999165435}",25,0,-153.32535362098537,"{0: 15, 1: 0, 2: 7, 3: 1, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.9999999999084931}",30,0,-102.55017091020534,"{0: 20, 1: 1, 2: 8, 3: 0, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.9999999998996659}",20,0,-60.17150305525321,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.9999999998899873}",30,0,-342.3314079044081,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 7}",0
28,False,"{'a': 0.5, 'e': 0.9999999998793752}",20,0,-91.24817300381875,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.9999999998677392}",20,0,-105.18833335543516,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.9999999998549809}",25,0,-109.85728772436737,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.9999999998409919}",25,0,-182.43447036491347,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 2}",0
32,False,"{'a': 0.5, 'e': 0.9999999998256534}",20,0,-72.34722999967691,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.9999999998088352}",20,0,-138.397404390188,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
34,False,"{'a': 0.5, 'e': 0.9999999997903948}",20,0,-134.70167058943917,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
35,False,"{'a': 0.5, 'e': 0.9999999997701755}",20,0,-73.29121502972595,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
36,False,"{'a': 0.5, 'e': 0.9999999997480059}",25,0,-126.09452327441201,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",0
37,False,"{'a': 0.5, 'e': 0.9999999997236976}",20,0,-94.87477920052179,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.9999999996970445}",20,9,-22.38242248904736,"{0: 6, 1: 3, 2: 2, 3: 0, 4: 0}",1
39,False,"{'a': 0.5, 'e': 0.9999999996678203}",25,0,-139.2237703334448,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
40,False,"{'a': 0.5, 'e': 0.9999999996357771}",20,0,-130.5042603188497,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
