trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-65.73331071893402,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9525}",25,0,-119.08040803459878,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.905}",30,0,-148.4018420496525,"{0: 18, 1: 4, 2: 5, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.8574999999999999}",25,0,-76.14948799745525,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.81}",35,0,-83.6573759586818,"{0: 23, 1: 3, 2: 8, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.7625}",20,0,-225.56564968861193,"{0: 10, 1: 1, 2: 3, 3: 2, 4: 4}",0
7,False,"{'a': 0.5, 'e': 0.715}",25,10,-127.72724609965645,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 3}",1
8,False,"{'a': 0.5, 'e': 0.6675}",25,0,-122.42283184484826,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.62}",30,0,-104.02390002372856,"{0: 20, 1: 3, 2: 5, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.5725}",30,0,-100.33640875446179,"{0: 18, 1: 5, 2: 4, 3: 3, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.525}",20,0,-23.941578759946967,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.47750000000000004}",20,0,-87.18943528622722,"{0: 13, 1: 4, 2: 0, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.42999999999999994}",30,0,-61.50049877308178,"{0: 22, 1: 2, 2: 4, 3: 2, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.38249999999999995}",30,0,-174.52299066465076,"{0: 18, 1: 2, 2: 5, 3: 3, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.33499999999999996}",30,0,-195.35700869200306,"{0: 18, 1: 1, 2: 7, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.2875}",20,0,-58.26182782804148,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.24}",25,0,-72.03096657014154,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.1925}",20,0,-127.4380500316123,"{0: 8, 1: 3, 2: 8, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.14500000000000002}",30,0,-103.39594597043438,"{0: 17, 1: 8, 2: 4, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.09750000000000003}",25,0,-136.13863702273363,"{0: 17, 1: 3, 2: 0, 3: 3, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",20,2,-53.08801807644945,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,0,-152.60246842955885,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",30,0,-64.0836145637803,"{0: 23, 1: 3, 2: 2, 3: 1, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",30,0,-164.29804583824946,"{0: 20, 1: 1, 2: 6, 3: 0, 4: 3}",0
5,True,"{'a': 0, 'e': 0}",20,0,-110.00491132696368,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",20,0,-43.06789694468792,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,0,-103.89377333328382,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,0,-92.61218219104339,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",25,0,-101.30766212119364,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,9,-6.997748155158999,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 0}",1
